"entity","device","lat_lng"
"VDC","VDC32418","6.87448000000000015 , 101.248659999999987"
"VDC","VDC32479","14.8960116666666682 , 100.353418333333323"
"VDC","VDC32490","0 , 0"
"VDC","VDC32508","14.9761383333333313 , 100.252158333333313"
"VDC","VDC32567","16.3837683333333324 , 101.199718333333323"
"VDC","VDC32575","13.676396666666669 , 100.609095000000011"
"VDC","VDC32588","0 , 0"
"VDC","VDC32593","0 , 0"
"VDC","VDC32599","0 , 0"
"VDC","VDC32609","0 , 0"
"VDC","VDC32614","13.7944216666666648 , 100.731340000000003"
"VDC","VDC32631","13.9166283333333318 , 99.7657950000000113"
"VDC","VDC32642","0 , 0"
"VDC","VDC32650","0 , 0"
"VDC","VDC32651","16.5352116666666653 , 102.83122666666668"
"VDC","VDC32658","0 , 0"
"VDC","VDC32659","0 , 0"
"VDC","VDC32665","0 , 0"
"VDC","VDC32668","0 , 0"
"VDC","VDC32671","0 , 0"
"VDC","VDC32678","0 , 0"
"VDC","VDC32679","0 , 0"
"VDC","VDC32705","13.8768066666666687 , 100.720425000000006"
"VDC","VDC32713","15.2020366666666664 , 102.071584999999985"
"VDC","VDC32722","17.9393650000000022 , 103.947778333333346"
"VDC","VDC32725","17.4120516666666667 , 102.787573333333327"
"VDC","VDC32727","0 , 0"
"VDC","VDC32730","16.0514299999999999 , 103.128976666666674"
"VDC","VDC32733","15.844380000000001 , 103.554955000000007"
"VDC","VDC32734","15.1935383333333327 , 104.814266666666668"
"VDC","VDC32737","18.3564749999999997 , 103.652651666666685"
"VDC","VDC32739","16.1896933333333308 , 103.299639999999997"
"VDC","VDC32752","0 , 0"
"VDC","VDC32755","0 , 0"
"VDC","VDC32757","0 , 0"
"VDC","VDC32762","13.6141866666666669 , 100.367261666666678"
"VDC","VDC32768","13.4673466666666659 , 99.7982500000000101"
"VDC","VDC32771","14.328758333333333 , 100.838118333333327"
"VDC","VDC32772","13.7482833333333314 , 100.186933333333343"
"VDC","VDC32781","12.9856483333333319 , 101.144313333333315"
"VDC","VDC32782","12.8647349999999996 , 100.900849999999991"
"VDC","VDC32790","13.5932900000000014 , 100.33771999999999"
"VDC","VDC328","13.7127911999999998 , 100.418793199999996"
"VDC","VDC32893","14.6839566666666652 , 100.418053333333319"
"VDC","VDC32927","0 , 0"
"VDC","VDC330","13.71129 , 100.419029699999996"
"VDC","VDC33001","0 , 0"
"VDC","VDC33021","0 , 0"
"VDC","VDC331","13.6523915999999996 , 100.677808499999998"
"VDC","VDC33240","0 , 0"
"VDC","VDC33247","13.6380033333333319 , 100.417488333333338"
"VDC","VDC33268","0 , 0"
"VDC","VDC33274","14.0253616666666669 , 100.172993333333338"
"VDC","VDC33279","0 , 0"
"VDC","VDC33297","0 , 0"
"VDC","VDC33298","0 , 0"
"VDC","VDC33301","13.6887666666666679 , 100.258015000000015"
"VDC","VDC33307","14.008424999999999 , 100.247405000000015"
"VDC","VDC33312","0 , 0"
"VDC","VDC33320","0 , 0"
"VDC","VDC33336","0 , 0"
"VDC","VDC33340","14.0048449999999995 , 100.556108333333341"
"VDC","VDC33341","0 , 0"
"VDC","VDC33356","0 , 0"
"VDC","VDC33357","0 , 0"
"VDC","VDC33370","14.5890933333333344 , 104.616294999999994"
"VDC","VDC33421","15.9673483333333319 , 99.9978566666666637"
"VDC","VDC33492","0 , 0"
"VDC","VDC33504","0 , 0"
"VDC","VDC33507","0 , 0"
"VDC","VDC33512","13.6871599999999987 , 100.700389999999999"
"VDC","VDC33517","0 , 0"
"VDC","VDC33613","0 , 0"
"VDC","VDC337","14.3362339999999993 , 100.6105144"
"VDC","VDC33999","13.9876000000000023 , 100.573113333333339"
"VDC","VDC34003","16.3447049999999976 , 104.010270000000006"
"VDC","VDC34133","0 , 0"
"VDC","VDC342","13.7761748999999991 , 100.478132099999996"
"VDC","VDC34306","14.5169233333333327 , 100.974025000000012"
"VDC","VDC34311","15.2222883333333314 , 100.172380000000004"
"VDC","VDC34317","0 , 0"
"VDC","VDC34319","0 , 0"
"VDC","VDC34323","14.9066116666666666 , 102.011693333333341"
"VDC","VDC34332","0 , 0"
"VDC","VDC34362","16.4620833333333323 , 101.297036666666671"
"VDC","VDC34366","16.8917033333333322 , 101.228301666666667"
"VDC","VDC34367","0 , 0"
"VDC","VDC34369","0 , 0"
"VDC","VDC34396","0 , 0"
"VDC","VDC345","14.3129778000000005 , 100.646133599999999"
"VDC","VDC347","13.8057774000000002 , 100.534556699999996"
"VDC","VDC34729","14.0212850000000007 , 100.540008333333333"
"VDC","VDC34802","0 , 0"
"VDC","VDC34902","0 , 0"
"VDC","VDC34911","0 , 0"
"VDC","VDC34914","13.3452816666666649 , 99.8292683333333457"
"VDC","VDC34954","14.1243466666666677 , 100.630801666666656"
"VDC","VDC34955","13.9826899999999981 , 100.390544999999989"
"VDC","VDC350","13.7690848999999993 , 100.6438232"
"VDC","VDC35000","0 , 0"
"VDC","VDC35026","0 , 0"
"VDC","VDC35140","10.2686899999999994 , 98.8294633333333223"
"VDC","VDC35141","0 , 0"
"VDC","VDC35151","0 , 0"
"VDC","VDC35186","13.966588333333334 , 100.51334833333334"
"VDC","VDC35226","0 , 0"
"VDC","VDC35243","10.0958983333333343 , 99.1435966666666531"
"VDC","VDC35247","0 , 0"
"VDC","VDC35263","0 , 0"
"VDC","VDC35271","8.63272833333333445 , 99.3572849999999903"
"VDC","VDC35281","0 , 0"
"VDC","VDC35283","12.2256466666666679 , 99.8677399999999835"
"VDC","VDC35287","14.5882299999999994 , 100.985663333333349"
"VDC","VDC35288","12.368521666666668 , 99.9348099999999846"
"VDC","VDC35297","8.38928999999999903 , 99.9708700000000192"
"VDC","VDC35340","0 , 0"
"VDC","VDC35349","0 , 0"
"VDC","VDC35351","0 , 0"
"VDC","VDC35395","13.3177033333333341 , 101.107253333333333"
"VDC","VDC35422","14.1714849999999988 , 100.301563333333348"
"VDC","VDC35439","0 , 0"
"VDC","VDC35443","0 , 0"
"VDC","VDC35492","0 , 0"
"VDC","VDC355","13.9461539999999999 , 100.641971900000001"
"VDC","VDC35677","0 , 0"
"VDC","VDC35685","0 , 0"
"VDC","VDC357","14.0184575999999996 , 100.526026099999996"
"VDC","VDC35740","15.2603400000000011 , 102.222196666666662"
"VDC","VDC35761","0 , 0"
"VDC","VDC35765","0 , 0"
"VDC","VDC35783","0 , 0"
"VDC","VDC35864","15.5231700000000004 , 103.329186666666672"
"VDC","VDC35973","0 , 0"
"VDC","VDC35976","9.12822666666666649 , 99.3080599999999976"
"VDC","VDC35984","14.2415066666666643 , 101.120286666666658"
"VDC","VDC360","14.3364805999999998 , 100.610137899999998"
"VDC","VDC36100","0 , 0"
"VDC","VDC36103","0 , 0"
"VDC","VDC36107","0 , 0"
"VDC","VDC36110","0 , 0"
"VDC","VDC36126","0 , 0"
"VDC","VDC36129","15.9568333333333339 , 101.273864999999986"
"VDC","VDC36138","0 , 0"
"VDC","VDC36148","15.7853250000000003 , 100.996840000000006"
"VDC","VDC36155","0 , 0"
"VDC","VDC36156","0 , 0"
"VDC","VDC36161","16.570453333333333 , 101.00191833333335"
"VDC","VDC3623","0 , 0"
"VDC","VDC36265","16.4042250000000003 , 101.152405000000002"
"VDC","VDC36326","16.795066666666667 , 101.277381666666685"
"VDC","VDC36341","0 , 0"
"VDC","VDC36383","16.040770000000002 , 101.193033333333332"
"VDC","VDC36591","0 , 0"
"VDC","VDC36776","14.6102316666666674 , 101.841621666666683"
"VDC","VDC36820","15.7684683333333329 , 101.911648333333318"
"VDC","VDC36828","0 , 0"
"VDC","VDC36850","0 , 0"
"VDC","VDC36855","0 , 0"
"VDC","VDC36856","0 , 0"
"VDC","VDC36867","0 , 0"
"VDC","VDC36873","13.8100766666666654 , 100.59584333333332"
"VDC","VDC36895","13.9823833333333329 , 99.6405533333333295"
"VDC","VDC369","13.7370569000000007 , 100.634692000000001"
"VDC","VDC36907","13.6945949999999996 , 100.233503333333346"
"VDC","VDC36908","0 , 0"
"VDC","VDC36912","13.8505499999999984 , 100.866545000000016"
"VDC","VDC37217","16.5546433333333347 , 101.130781666666678"
"VDC","VDC37224","0 , 0"
"VDC","VDC37226","0 , 0"
"VDC","VDC37282","0 , 0"
"VDC","VDC37348","0 , 0"
"VDC","VDC3757","0 , 0"
"VDC","VDC37621","0 , 0"
"VDC","VDC37681","0 , 0"
"VDC","VDC37682","0 , 0"
"VDC","VDC37691","0 , 0"
"VDC","VDC37734","0 , 0"
"VDC","VDC37783","0 , 0"
"VDC","VDC37850","15.9844083333333327 , 101.062685000000002"
"VDC","VDC37931","0 , 0"
"VDC","VDC37937","0 , 0"
"VDC","VDC37939","0 , 0"
"VDC","VDC3800","0 , 0"
"VDC","VDC38084","14.7888766666666651 , 103.472466666666662"
"VDC","VDC38122","0 , 0"
"VDC","VDC38158","15.0624366666666667 , 102.104604999999992"
