"entity","device","service_product","count"
"VDC","VDC57306","TRUEPROSERM",179
"VDC","VDC57306","AISPROSERM",179
"VDC","VDC57306","KBANKDEPOSIT",179
"VDC","VDC57306","SCBDEPOSIT",179
"VDC","VDC57306","BAYDEPOSIT",179
"VDC","VDC57306","PEA",179
"VDC","VDC57306","AIS",179
"VDC","VDC57306","TMNTOPUP",179
"VDC","VDC57306","GSBDEPOSITONLINE",179
"VDC","VDC57306","MYCAT",179
"VDC","VDC57306","DTAC",179
"VDC","VDC57306","GSBDEPOSIT",179
"VDC","VDC57306","DTACPROSERM",179
"VDC","VDC57306","AIRPAYWALLET",179
"VDC","VDC57306","TRUE",179
"VDC","VDC57306","BAACDEPOSIT",179
"VDC","VDC57306","KTBDEPOSIT",179
"VDP","VFE407","M-150 น้ำผึ้ง 150 มล.",176
"VDC","VDC56647","DTAC",176
"VDC","VDC56647","AIRPAYWALLET",176
"VDC","VDC56647","DTACPROSERM",176
"VDC","VDC56647","KBANKDEPOSIT",176
"VDC","VDC56647","KTBDEPOSIT",176
"VDC","VDC56647","MYCAT",176
"VDC","VDC56647","SCBDEPOSIT",176
"VDC","VDC56647","TMNEPIN",176
"VDC","VDC56647","TMNTOPUP",176
"VDC","VDC56647","TRUE",176
"VDC","VDC56647","TRUEPROSERM",176
"VDC","VDC56647","AIS",176
"VDC","VDC56647","AISPROSERM",176
"VDP","VFE1734","น้ำแร่ อุลตร้าแมน ขนาด 500 มล.",174
"VDC","VDC38928","KTBDEPOSIT",172
"VDC","VDC38928","AIS",172
"VDC","VDC38928","AISPROSERM",172
"VDC","VDC38928","BAACDEPOSIT",172
"VDC","VDC38928","DTAC",172
"VDC","VDC38928","GSBDEPOSITONLINE",172
"VDC","VDC38928","KBANKDEPOSIT",172
"VDC","VDC38928","MYCAT",172
"VDC","VDC38928","PEA",172
"VDC","VDC38928","SBMTOPUPWALLET",172
"VDC","VDC38928","SCBDEPOSIT",172
"VDC","VDC38928","TMNEPIN",172
"VDC","VDC38928","TMNTOPUP",172
"VDC","VDC38928","TRUE",172
"VDC","VDC38928","TRUEPROSERM",172
"VDP","VFE2401","เอ็ม-150",170
"VDP","VFE2401","เมจิกฟาร์ม มะพร้าว",170
"VDP","VFE1083","เป๊ปซี่ สลิม 245 มล.",168
"VDP","VFE1083","โค้ก-สลิม",168
"VDP","VFE1083","เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",168
"VDP","VFE1742","M-150 น้ำผึ้ง 150 มล.",168
"VDP","VFE1953","เป๊ปซี่ สลิม 245 มล.",166
"VDP","VFE1953","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",166
"VDP","VFE1953","โค้ก-สลิม",166
"VDP","VFE1953","คาราบาวแดง",166
"VDP","VFE984","น้ำแร่ อุลตร้าแมน ขนาด 500 มล.",165
"VDP","VFE759","คาราบาวแดง",164
"VDP","VFE759","M-150 น้ำผึ้ง 150 มล.",164
"VDC","VDC15115","TRUE",161
"VDC","VDC15115","TRUEPROSERM",161
"VDC","VDC15115","AIS",161
"VDC","VDC15115","AISPROSERM",161
"VDC","VDC15115","APLAY",161
"VDC","VDC15115","BBLKYCDIPCHIP",161
"VDC","VDC15115","DTAC",161
"VDC","VDC15115","DTACPROSERM",161
"VDC","VDC15115","KBANKDEPOSIT",161
"VDC","VDC15115","KTBDEPOSIT",161
"VDC","VDC15115","MEA",161
"VDC","VDC15115","MYCAT",161
"VDC","VDC15115","SBMDIPCHIP",161
"VDC","VDC15115","SBMTOPUPWALLET",161
"VDC","VDC15115","SCBDEPOSIT",161
"VDC","VDC15115","TMNTOPUP",161
"VDC","VDC15115","TRUEPOSTPAID",161
"VDP","VFE2171","M-150 น้ำผึ้ง 150 มล.",160
"VDP","VFE2171","น้ำดื่ม อุลตร้าแมน ขนาด 500ml.",160
"VDC","VDC54915","AIS",156
"VDP","VFE537","คาราบาวแดง",156
"VDC","VDC54915","AIRPAYWALLET",156
"VDC","VDC54915","KTBDEPOSIT",156
"VDC","VDC54915","MYCAT",156
"VDC","VDC54915","BAACDEPOSIT",156
"VDC","VDC54915","APLAY",156
"VDC","VDC54915","AISPROSERM",156
"VDC","VDC54915","DTAC",156
"VDC","VDC54915","PEA",156
"VDP","VFE889","คาราบาวแดง",156
"VDC","VDC54915","SCBDEPOSIT",156
"VDC","VDC54915","TMNTOPUP",156
"VDC","VDC54915","TRUE",156
"VDC","VDC54915","DTACPROSERM",156
"VDC","VDC54915","GSBDEPOSITONLINE",156
"VDC","VDC54915","GSBDEPOSIT",156
"VDC","VDC54915","KBANKDEPOSIT",156
"VDP","VFE1783","โวลต์ กาแฟอีนและซิงค์ 215 มล.",152
"VDC","VDC55006","3BBONLINE",152
"VDC","VDC55006","AIS",152
"VDC","VDC55006","AISPROSERM",152
"VDC","VDC55006","DTAC",152
"VDC","VDC55006","DTACPOSTPAIDONLINE",152
"VDC","VDC55006","KBANKDEPOSIT",152
"VDC","VDC55006","KTBDEPOSIT",152
"VDC","VDC55006","PEA",152
"VDC","VDC55006","PWA",152
"VDC","VDC55006","SCBDEPOSIT",152
"VDC","VDC55006","TMNTOPUP",152
"VDC","VDC55006","TRUE",152
